title_id,title_name,image,category,first_played_date_time,last_played_date_time,play_count,play_duration
CUSA02387_00,Battlefield™ 1,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA02387_00/4/i_4f0735372ec946403df8905f3f520cfcec79b433a7fe90758500a025c3401d34/i/icon0_01.png,PlatformCategory.PS4,2016-10-21 09:30:38.410000+00:00,2017-09-30 17:02:12.560000+00:00,333,10 days 06:03:51
CUSA08354_00,FIFA 18,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA07994_00/3/i_a18be18308cdd01f80c58ef164210bb2b79bf344e67ec9cc125382e078826035/i/icon0_01.png,PlatformCategory.PS4,2017-09-13 14:27:18.990000+00:00,2017-09-29 17:27:52.520000+00:00,11,0 days 11:47:22
CUSA09104_00,Tom Clancy's Ghost Recon® Wildlands,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA02819_00/4/i_2e028661bf2f2d1576bdd4819f151856bb0c3c4f40d0f67c1f6a32c8c13a671d/i/icon0.png,PlatformCategory.PS4,2017-09-21 19:55:57.690000+00:00,2017-09-25 16:55:49.450000+00:00,14,0 days 08:32:12
CUSA03214_00,FIFA 17,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA03214_00/3/i_cd00abb73fe3462759baa4e79ed52d7f4c7f4940ef53c2e1f3a74adb66af71c7/i/icon0_01.png,PlatformCategory.PS4,2016-09-30 17:52:53.380000+00:00,2017-09-10 11:06:18.890000+00:00,82,3 days 01:33:39
CUSA07875_00,UNCHARTED: Legacy of Thieves Collection,https://image.api.playstation.com/vulcan/ap/rnd/202111/2000/gTUWTlvPHzxFJ2JAxtDyI2eS.png,PlatformCategory.PS4,2017-09-01 16:32:42+00:00,2017-09-06 15:11:01.020000+00:00,9,0 days 13:46:12
CUSA08443_00,Marvel vs. Capcom: Infinite,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA06380_00/3/i_51cca8b4a2f04589e3e7e8232deda3c00659f95877a1ce7eb8566ea51a28bc91/i/icon0.png,PlatformCategory.PS4,2017-06-17 10:43:08.300000+00:00,2017-08-30 10:41:35.960000+00:00,3,0 days 00:23:45
CUSA02369_00,HITMAN™,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA02369_00/3/i_2c97ed4eeabb3e426f3fafa12dc38b9fa9e335baacec73ab394139b9e79bf5ef/i/icon0.png,PlatformCategory.PS4,2017-08-25 11:17:21.920000+00:00,2017-08-25 11:17:21.920000+00:00,1,0 days 00:21:24
CUSA02819_00,Tom Clancy's Ghost Recon® Wildlands,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA02819_00/4/i_2e028661bf2f2d1576bdd4819f151856bb0c3c4f40d0f67c1f6a32c8c13a671d/i/icon0.png,PlatformCategory.PS4,2017-06-20 09:57:43.260000+00:00,2017-07-20 08:44:06.570000+00:00,59,3 days 19:49:13
CUSA01936_00,EA SPORTS™ UFC® 2,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA01936_00/2/i_431bffc0378811b0f67f43ad43948ebe07378cdd0a3efd2ccc555e0155c88d06/i/icon0.png,PlatformCategory.PS4,2017-06-17 11:34:39.660000+00:00,2017-07-16 11:52:12.600000+00:00,13,0 days 09:10:46
CUSA05526_00,STEEP,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA05526_00/2/i_c8094d5d5778a7deb586d35a39a606beec8e8faf120802182960a69a51fcd45a/i/icon0.png,PlatformCategory.PS4,2016-12-25 11:50:58.470000+00:00,2017-06-07 13:52:30.700000+00:00,29,0 days 20:41:05
CUSA08457_00,Prey,https://image.api.playstation.com/vulcan/ap/rnd/202009/2902/qsnHdkCM1Zlnue33c5t5skP5.png,PlatformCategory.PS4,2017-05-23 16:03:07.950000+00:00,2017-05-23 16:03:07.950000+00:00,1,0 days 00:26:35
CUSA00063_00,LittleBigPlanet™3,https://image.api.playstation.com/vulcan/img/rnd/202011/0523/uCNQSzE3APHneMXOdWeBAyeR.png,PlatformCategory.PS4,2017-02-21 16:51:21.820000+00:00,2017-04-21 16:11:34.740000+00:00,3,0 days 00:18:01
CUSA07470_00,Mafia III,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA03617_00/6/i_f338b47d39a47211a1a6a66164a5dd400f3ac8d2800acb90e84e2795d81e5cac/i/icon0.png,PlatformCategory.PS4,2017-03-28 16:45:02.840000+00:00,2017-04-02 09:58:54.280000+00:00,8,0 days 03:22:08
CUSA06118_00,Tom Clancy's Ghost Recon® Wildlands,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA02819_00/4/i_2e028661bf2f2d1576bdd4819f151856bb0c3c4f40d0f67c1f6a32c8c13a671d/i/icon0.png,PlatformCategory.PS4,2017-02-23 22:51:14.320000+00:00,2017-02-27 12:00:55.430000+00:00,10,0 days 10:05:26
